parcellation,lobe
G&S_frontomargin,frontal
G&S_occipital_inf,occipital
G&S_paracentral,parietal
G&S_subcentral,others
G&S_transv_frontopol,frontal
G&S_cingul-Ant,limbic
G&S_cingul-Mid-Ant,limbic
G&S_cingul-Mid-Post,limbic
G_cingul-Post-dorsal,limbic
G_cingul-Post-ventral,limbic
G_cuneus,occipital
G_front_inf-Opercular,frontal
G_front_inf-Orbital,frontal
G_front_inf-Triangul,frontal
G_front_middle,frontal
G_front_sup,frontal
G_Ins_lg&S_cent_ins,insula
G_insular_short,insula
G_occipital_middle,occipital
G_occipital_sup,occipital
G_oc-temp_lat-fusifor,temporal
G_oc-temp_med-Lingual,occipital
G_oc-temp_med-Parahip,limbic
G_orbital,frontal
G_pariet_inf-Angular,parietal
G_pariet_inf-Supramar,parietal
G_parietal_sup,parietal
G_postcentral,parietal
G_precentral,frontal
G_precuneus,parietal
G_rectus,frontal
G_subcallosal,frontal
G_temp_sup-G_T_transv,temporal
G_temp_sup-Lateral,temporal
G_temp_sup-Plan_polar,temporal
G_temp_sup-Plan_tempo,temporal
G_temporal_inf,temporal
G_temporal_middle,temporal
Lat_Fis-ant-Horizont,others
Lat_Fis-ant-Vertical,others
Lat_Fis-post,others
Pole_occipital,occipital
Pole_temporal,temporal
S_calcarine,occipital
S_central,parietal
S_cingul-Marginalis,limbic
S_circular_insula_ant,insula
S_circular_insula_inf,insula
S_circular_insula_sup,insula
S_collat_transv_ant,others
S_collat_transv_post,others
S_front_inf,frontal
S_front_middle,frontal
S_front_sup,frontal
S_interm_prim-Jensen,parietal
S_intrapariet&P_trans,parietal
S_oc_middle&Lunatus,occipital
S_oc_sup&transversal,occipital
S_occipital_ant,occipital
S_oc-temp_lat,temporal
S_oc-temp_med&Lingual,temporal
S_orbital_lateral,frontal
S_orbital_med-olfact,frontal
S_orbital-H_Shaped,frontal
S_parieto_occipital,parietal
S_pericallosal,others
S_postcentral,parietal
S_precentral-inf-part,frontal
S_precentral-sup-part,frontal
S_suborbital,frontal
S_subparietal,parietal
S_temporal_inf,temporal
S_temporal_sup,temporal
S_temporal_transverse,temporal
